,DS,Data,601-T,602-T,603-T,604-T,701-T,702-T,703-T,704-T,801-M,802-T,803-T,804-T,901-M,902-M,903-M,904-T,905-T,1001-M,1002-M,1003-T,1004-T,1005-M,1006-T,2001-M,2002-M,2003-M,2004-M,2005-M,2006-T,3001-M,3002-M,3003-M,3004-M,3005-T,NEJA I-01,NEJA I-02,NEJA II-01,NEJA II-02,NEJA III-01,NEJA III-02,NEJA IV-01,NEJA IV-02
121,sex,2022-09-02,31.0,21.0,30.0,15.0,27.0,36.0,32.0,18.0,24.0,25.0,28.0,33.0,25.0,24.0,27.0,34.0,29.0,39.0,25.0,28.0,35.0,23.0,26.0,29.0,29.0,39.0,21.0,30.0,,26.0,29.0,25.0,28.0,,21.0,,,,18.0,9.0,24.0,
122,seg,2022-09-05,26.0,32.0,28.0,17.0,33.0,29.0,26.0,20.0,27.0,30.0,38.0,36.0,30.0,27.0,30.0,35.0,30.0,41.0,39.0,28.0,33.0,25.0,24.0,24.0,26.0,29.0,26.0,28.0,20.0,33.0,28.0,24.0,26.0,16.0,20.0,9.0,,,22.0,,22.0,
123,ter,2022-09-06,32.0,34.0,30.0,17.0,33.0,32.0,30.0,23.0,32.0,34.0,36.0,31.0,31.0,26.0,27.0,31.0,27.0,39.0,36.0,35.0,35.0,33.0,23.0,27.0,28.0,26.0,29.0,25.0,19.0,31.0,22.0,27.0,25.0,11.0,17.0,11.0,,,,11.0,15.0,
124,qui,2022-09-08,33.0,29.0,25.0,16.0,33.0,36.0,28.0,25.0,28.0,32.0,37.0,34.0,32.0,18.0,19.0,35.0,34.0,40.0,26.0,32.0,37.0,29.0,24.0,26.0,21.0,25.0,,18.0,18.0,26.0,13.0,32.0,25.0,11.0,,,,21.0,13.0,13.0,31.0,
125,sex,2022-09-09,28.0,29.0,27.0,18.0,27.0,28.0,24.0,25.0,,27.0,32.0,28.0,32.0,25.0,22.0,25.0,35.0,28.0,28.0,33.0,35.0,29.0,17.0,27.0,23.0,22.0,29.0,26.0,16.0,27.0,16.0,28.0,32.0,8.0,17.0,7.0,27.0,21.0,18.0,13.0,,8.0
126,seg,2022-09-12,,22.0,31.0,19.0,30.0,35.0,26.0,24.0,28.0,32.0,31.0,37.0,31.0,24.0,22.0,32.0,26.0,37.0,31.0,34.0,30.0,23.0,29.0,28.0,26.0,26.0,31.0,19.0,21.0,29.0,32.0,29.0,24.0,10.0,23.0,6.0,27.0,20.0,15.0,12.0,23.0,8.0
127,ter,2022-09-13,31.0,33.0,28.0,20.0,35.0,36.0,33.0,26.0,32.0,35.0,33.0,34.0,36.0,29.0,30.0,34.0,29.0,42.0,24.0,36.0,35.0,30.0,28.0,34.0,25.0,21.0,29.0,28.0,18.0,15.0,27.0,32.0,28.0,13.0,21.0,7.0,29.0,19.0,27.0,14.0,31.0,11.0
128,qua,2022-09-14,33.0,29.0,31.0,18.0,34.0,36.0,29.0,26.0,32.0,34.0,34.0,34.0,33.0,26.0,25.0,37.0,32.0,42.0,31.0,33.0,33.0,30.0,22.0,30.0,27.0,28.0,29.0,29.0,26.0,31.0,29.0,36.0,,13.0,22.0,,29.0,23.0,17.0,10.0,29.0,11.0
129,qui,2022-09-15,29.0,27.0,29.0,19.0,30.0,29.0,27.0,26.0,,37.0,37.0,34.0,27.0,22.0,29.0,36.0,35.0,33.0,32.0,28.0,31.0,28.0,26.0,31.0,23.0,23.0,,19.0,17.0,22.0,27.0,33.0,22.0,8.0,,,23.0,20.0,13.0,11.0,32.0,1.0
130,sex,2022-09-16,20.0,17.0,,15.0,18.0,30.0,27.0,17.0,,33.0,15.0,19.0,19.0,27.0,17.0,26.0,25.0,33.0,26.0,24.0,24.0,25.0,10.0,29.0,26.0,20.0,29.0,17.0,15.0,23.0,20.0,37.0,25.0,9.0,21.0,,23.0,15.0,9.0,8.0,,6.0
131,seg,2022-09-19,27.0,34.0,33.0,13.0,34.0,38.0,31.0,29.0,,29.0,32.0,34.0,,,,35.0,33.0,,,,,,22.0,,,,,,20.0,,,,,13.0,32.0,9.0,24.0,25.0,22.0,12.0,27.0,12.0
132,ter,2022-09-20,,,,,,,36.0,,,,,,,,,,,39.0,,33.0,35.0,24.0,23.0,,,,,,19.0,26.0,,,,14.0,37.0,8.0,,28.0,24.0,13.0,28.0,8.0
133,qua,2022-09-21,33.0,32.0,29.0,16.0,37.0,35.0,28.0,24.0,24.0,35.0,34.0,35.0,23.0,24.0,16.0,30.0,33.0,,36.0,,,,30.0,29.0,31.0,31.0,29.0,24.0,22.0,,23.0,28.0,28.0,11.0,20.0,7.0,,21.0,20.0,10.0,25.0,
134,qui,2022-09-22,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,24.0,23.0,14.0,32.0,11.0
135,sex,2022-09-23,30.0,29.0,30.0,16.0,20.0,33.0,27.0,25.0,,24.0,30.0,31.0,32.0,33.0,25.0,23.0,33.0,,13.0,,32.0,29.0,10.0,26.0,18.0,14.0,21.0,21.0,14.0,26.0,24.0,25.0,21.0,8.0,19.0,6.0,27.0,18.0,22.0,14.0,,
136,seg,2022-09-26,27.0,32.0,33.0,19.0,34.0,29.0,28.0,28.0,30.0,34.0,28.0,37.0,31.0,22.0,24.0,31.0,32.0,33.0,31.0,32.0,32.0,25.0,24.0,30.0,21.0,25.0,30.0,25.0,22.0,26.0,20.0,33.0,24.0,10.0,22.0,6.0,32.0,16.0,23.0,15.0,19.0,8.0
137,ter,2022-09-27,32.0,32.0,32.0,19.0,35.0,36.0,28.0,28.0,29.0,35.0,35.0,38.0,33.0,32.0,26.0,35.0,32.0,37.0,31.0,29.0,29.0,28.0,26.0,32.0,25.0,27.0,27.0,25.0,25.0,23.0,18.0,32.0,26.0,14.0,16.0,7.0,26.0,23.0,21.0,10.0,,9.0
138,qua,2022-09-28,21.0,20.0,,,22.0,,26.0,22.0,33.0,33.0,35.0,36.0,25.0,30.0,27.0,32.0,30.0,36.0,32.0,32.0,37.0,28.0,22.0,35.0,26.0,29.0,27.0,22.0,18.0,25.0,23.0,31.0,27.0,9.0,,,,13.0,11.0,10.0,28.0,
139,qui,2022-09-29,21.0,27.0,24.0,17.0,26.0,31.0,32.0,21.0,26.0,35.0,30.0,33.0,25.0,28.0,26.0,27.0,,27.0,25.0,27.0,31.0,23.0,22.0,27.0,,19.0,,28.0,18.0,36.0,19.0,24.0,24.0,8.0,,,32.0,23.0,20.0,9.0,29.0,10.0
140,sex,2022-09-30,21.0,23.0,24.0,14.0,18.0,21.0,26.0,21.0,,18.0,28.0,30.0,29.0,30.0,20.0,27.0,17.0,,25.0,28.0,33.0,20.0,,35.0,18.0,24.0,21.0,25.0,7.0,28.0,32.0,24.0,19.0,,,,,,,,,
141,seg,2022-10-03,22.0,26.0,22.0,13.0,21.0,22.0,26.0,24.0,,,,27.0,,,,22.0,16.0,31.0,,29.0,33.0,31.0,2.0,,,,,,16.0,28.0,,,,12.0,12.0,7.0,17.0,15.0,9.0,10.0,11.0,6.0
142,ter,2022-10-04,27.0,30.0,28.0,19.0,32.0,35.0,37.0,26.0,25.0,,35.0,35.0,36.0,27.0,31.0,,34.0,,33.0,,,,29.0,8.0,23.0,32.0,28.0,24.0,23.0,,25.0,33.0,27.0,12.0,18.0,8.0,20.0,23.0,17.0,13.0,19.0,11.0
143,qua,2022-10-05,,,,,,,,,,,,35.0,,,,,,,,,,,21.0,,37.0,37.0,24.0,,,,,39.0,,11.0,,8.0,19.0,,15.0,13.0,17.0,11.0
144,qui,2022-10-06,,,16.0,,,,33.0,24.0,,,,,22.0,32.0,,,,,,35.0,39.0,,,,,,,,,,,,,,,,16.0,,,,,
145,sex,2022-10-07,31.0,36.0,25.0,15.0,21.0,,29.0,25.0,22.0,,24.0,32.0,20.0,12.0,24.0,20.0,27.0,19.0,,30.0,39.0,37.0,18.0,,,,31.0,,23.0,,36.0,39.0,,8.0,21.0,7.0,,10.0,,8.0,6.0,7.0
146,seg,2022-10-10,,28.0,32.0,18.0,37.0,38.0,33.0,29.0,30.0,,33.0,32.0,34.0,28.0,32.0,32.0,33.0,39.0,33.0,29.0,33.0,23.0,29.0,32.0,23.0,22.0,26.0,27.0,25.0,33.0,27.0,30.0,21.0,12.0,17.0,8.0,21.0,19.0,21.0,13.0,11.0,8.0
147,ter,2022-10-11,24.0,32.0,29.0,21.0,31.0,33.0,32.0,16.0,32.0,,32.0,36.0,,,26.0,,,37.0,37.0,,34.0,29.0,25.0,,31.0,31.0,25.0,24.0,,29.0,,32.0,27.0,9.0,15.0,7.0,17.0,17.0,15.0,10.0,14.0,7.0
148,qua,2022-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,
149,qui,2022-10-13,20.0,33.0,34.0,15.0,34.0,31.0,35.0,18.0,,,32.0,37.0,,,,27.0,27.0,,,,,,23.0,,,,,,18.0,,,,,8.0,21.0,,16.0,14.0,,4.0,12.0,7.0
150,sex,2022-10-14,19.0,24.0,25.0,15.0,32.0,32.0,26.0,,,,28.0,30.0,27.0,,29.0,24.0,28.0,19.0,21.0,35.0,20.0,26.0,,38.0,14.0,37.0,22.0,13.0,19.0,28.0,24.0,23.0,23.0,6.0,16.0,4.0,19.0,12.0,11.0,4.0,,
151,seg,2022-10-17,8.0,22.0,21.0,14.0,28.0,24.0,26.0,21.0,27.0,,28.0,29.0,26.0,26.0,28.0,24.0,28.0,27.0,29.0,27.0,35.0,31.0,15.0,37.0,22.0,24.0,20.0,15.0,12.0,16.0,23.0,17.0,23.0,8.0,10.0,5.0,16.0,13.0,,6.0,12.0,6.0
152,ter,2022-10-18,22.0,32.0,32.0,20.0,33.0,34.0,36.0,28.0,26.0,,27.0,37.0,31.0,33.0,34.0,32.0,36.0,39.0,35.0,32.0,34.0,25.0,23.0,38.0,28.0,29.0,23.0,21.0,,26.0,27.0,34.0,27.0,12.0,15.0,6.0,20.0,19.0,19.0,7.0,15.0,7.0
153,qua,2022-10-19,21.0,33.0,27.0,12.0,36.0,39.0,34.0,27.0,33.0,,32.0,35.0,33.0,29.0,29.0,25.0,29.0,35.0,36.0,35.0,34.0,27.0,22.0,35.0,26.0,29.0,25.0,19.0,20.0,31.0,31.0,27.0,26.0,12.0,20.0,,21.0,17.0,9.0,8.0,22.0,9.0
154,qui,2022-10-20,22.0,26.0,25.0,19.0,29.0,36.0,34.0,30.0,31.0,,,31.0,34.0,33.0,29.0,31.0,29.0,,30.0,35.0,30.0,,23.0,38.0,23.0,32.0,28.0,20.0,18.0,22.0,10.0,22.0,24.0,12.0,18.0,7.0,21.0,15.0,16.0,13.0,21.0,10.0
155,sex,2022-10-21,21.0,29.0,30.0,16.0,30.0,36.0,31.0,21.0,28.0,,25.0,33.0,30.0,28.0,27.0,26.0,26.0,15.0,26.0,31.0,36.0,22.0,11.0,27.0,27.0,28.0,24.0,22.0,12.0,21.0,27.0,23.0,20.0,6.0,17.0,5.0,15.0,12.0,25.0,11.0,,4.0
156,seg,2022-10-24,17.0,25.0,30.0,19.0,34.0,35.0,36.0,24.0,30.0,,32.0,33.0,30.0,29.0,29.0,33.0,31.0,37.0,33.0,30.0,28.0,28.0,28.0,30.0,20.0,24.0,24.0,24.0,20.0,20.0,24.0,27.0,22.0,13.0,16.0,8.0,18.0,15.0,29.0,13.0,,6.0
157,ter,2022-10-25,23.0,33.0,30.0,19.0,32.0,36.0,28.0,29.0,30.0,,31.0,35.0,36.0,32.0,35.0,30.0,36.0,37.0,35.0,30.0,24.0,30.0,23.0,37.0,26.0,31.0,21.0,22.0,18.0,30.0,33.0,29.0,25.0,10.0,20.0,9.0,21.0,19.0,29.0,11.0,,11.0
158,qua,2022-10-26,19.0,32.0,29.0,17.0,33.0,35.0,30.0,28.0,29.0,,31.0,26.0,31.0,29.0,31.0,30.0,31.0,38.0,36.0,33.0,35.0,32.0,23.0,34.0,22.0,30.0,26.0,19.0,21.0,29.0,26.0,30.0,24.0,13.0,20.0,6.0,19.0,19.0,30.0,8.0,,
159,qui,2022-10-27,19.0,28.0,26.0,18.0,32.0,34.0,31.0,24.0,34.0,,30.0,14.0,32.0,28.0,31.0,25.0,23.0,38.0,33.0,25.0,37.0,,22.0,33.0,22.0,28.0,18.0,23.0,19.0,30.0,30.0,28.0,26.0,9.0,,,15.0,24.0,12.0,6.0,,6.0
160,sex,2022-10-28,21.0,24.0,13.0,14.0,22.0,26.0,11.0,14.0,22.0,,19.0,33.0,23.0,31.0,23.0,27.0,27.0,,19.0,,32.0,20.0,7.0,29.0,17.0,17.0,18.0,24.0,16.0,20.0,27.0,26.0,22.0,10.0,22.0,,,,,,,
161,seg,2022-10-31,,23.0,21.0,11.0,22.0,28.0,25.0,25.0,,,26.0,34.0,,,,22.0,18.0,,,,,,14.0,,,,,,9.0,,,,,10.0,,,,,,,,
162,ter,2022-11-01,23.0,27.0,15.0,14.0,25.0,27.0,20.0,21.0,27.0,27.0,25.0,28.0,24.0,17.0,27.0,19.0,17.0,35.0,22.0,7.0,25.0,19.0,23.0,27.0,18.0,21.0,21.0,12.0,11.0,38.0,38.0,23.0,39.0,9.0,,,,13.0,,,28.0,
163,qui,2022-11-03,31.0,27.0,23.0,17.0,30.0,37.0,33.0,26.0,31.0,34.0,31.0,26.0,33.0,29.0,25.0,30.0,29.0,34.0,29.0,22.0,35.0,28.0,24.0,32.0,22.0,29.0,18.0,22.0,20.0,26.0,19.0,26.0,20.0,8.0,17.0,,23.0,19.0,,11.0,14.0,5.0
164,sex,2022-11-04,31.0,30.0,25.0,14.0,25.0,31.0,29.0,26.0,25.0,33.0,26.0,30.0,25.0,26.0,28.0,32.0,34.0,30.0,23.0,22.0,27.0,26.0,14.0,31.0,22.0,26.0,21.0,23.0,17.0,22.0,22.0,26.0,36.0,8.0,12.0,3.0,20.0,12.0,12.0,8.0,12.0,7.0
165,seg,2022-11-07,18.0,30.0,28.0,18.0,35.0,35.0,33.0,26.0,26.0,34.0,33.0,36.0,32.0,26.0,23.0,30.0,32.0,39.0,33.0,22.0,31.0,37.0,24.0,33.0,29.0,31.0,26.0,21.0,22.0,30.0,35.0,27.0,23.0,11.0,14.0,6.0,22.0,17.0,15.0,,,4.0
166,ter,2022-11-08,31.0,30.0,31.0,19.0,31.0,34.0,34.0,22.0,35.0,37.0,35.0,33.0,35.0,31.0,29.0,37.0,30.0,37.0,30.0,25.0,24.0,28.0,28.0,33.0,24.0,34.0,25.0,26.0,,32.0,29.0,23.0,23.0,10.0,20.0,5.0,20.0,20.0,14.0,12.0,6.0,7.0
167,qua,2022-11-09,29.0,33.0,29.0,11.0,33.0,20.0,32.0,26.0,30.0,,32.0,38.0,30.0,28.0,34.0,32.0,,41.0,35.0,23.0,34.0,29.0,24.0,35.0,30.0,32.0,27.0,26.0,23.0,33.0,31.0,33.0,25.0,11.0,14.0,3.0,18.0,20.0,7.0,16.0,15.0,6.0
168,qui,2022-11-10,31.0,30.0,20.0,18.0,32.0,35.0,28.0,28.0,,36.0,32.0,35.0,30.0,,30.0,29.0,31.0,41.0,,28.0,36.0,24.0,25.0,30.0,31.0,32.0,27.0,27.0,21.0,,25.0,27.0,25.0,,15.0,,20.0,,11.0,14.0,26.0,9.0
169,sex,2022-11-11,33.0,33.0,28.0,15.0,32.0,35.0,31.0,26.0,29.0,34.0,33.0,36.0,30.0,,,34.0,16.0,,16.0,,33.0,20.0,9.0,32.0,31.0,27.0,,,15.0,29.0,30.0,29.0,25.0,8.0,12.0,,15.0,18.0,15.0,9.0,,5.0
170,qua,2022-11-16,31.0,33.0,23.0,12.0,31.0,37.0,32.0,25.0,31.0,33.0,27.0,33.0,31.0,34.0,32.0,31.0,26.0,40.0,40.0,26.0,25.0,22.0,18.0,29.0,17.0,30.0,24.0,14.0,18.0,28.0,30.0,26.0,17.0,11.0,17.0,4.0,17.0,21.0,13.0,12.0,18.0,9.0
171,qui,2022-11-17,28.0,29.0,26.0,16.0,34.0,34.0,35.0,29.0,36.0,36.0,32.0,34.0,29.0,30.0,20.0,31.0,33.0,39.0,33.0,20.0,34.0,26.0,23.0,29.0,24.0,26.0,20.0,23.0,,25.0,30.0,21.0,22.0,,17.0,7.0,19.0,18.0,,11.0,17.0,
172,sex,2022-11-18,30.0,31.0,27.0,12.0,35.0,39.0,31.0,27.0,34.0,31.0,32.0,35.0,27.0,30.0,27.0,29.0,32.0,16.0,27.0,21.0,35.0,22.0,10.0,31.0,21.0,21.0,26.0,24.0,16.0,26.0,,29.0,18.0,7.0,13.0,3.0,18.0,16.0,15.0,8.0,,
173,seg,2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,6.0,22.0,20.0,19.0,13.0,16.0,12.0
174,ter,2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.0,18.0,20.0,20.0,13.0,14.0,10.0
175,qua,2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,5.0,23.0,23.0,12.0,14.0,17.0,8.0
176,qui,2022-11-24,,,,,,,,,37.0,,,,,36.0,,,,24.0,,28.0,30.0,11.0,,7.0,,,13.0,11.0,,37.0,,,,,,,,,,1.0,,
177,sex,2022-11-25,24.0,25.0,29.0,16.0,28.0,27.0,31.0,23.0,38.0,32.0,27.0,33.0,27.0,,,25.0,24.0,,,5.0,5.0,,,9.0,,,14.0,15.0,,,,,,,15.0,4.0,16.0,6.0,20.0,10.0,,5.0
178,qua,2022-11-30,,32.0,28.0,16.0,29.0,37.0,31.0,25.0,36.0,,33.0,39.0,38.0,36.0,,33.0,29.0,37.0,,22.0,27.0,25.0,,12.0,37.0,,15.0,20.0,21.0,38.0,,16.0,19.0,10.0,,,,,,18.0,,8.0
179,qui,2022-12-01,,12.0,27.0,19.0,29.0,32.0,,25.0,38.0,33.0,,35.0,19.0,17.0,,,19.0,38.0,,29.0,28.0,27.0,,10.0,37.0,38.0,14.0,16.0,,26.0,,36.0,22.0,,16.0,3.0,,13.0,,,17.0,
180,sex,2022-12-02,,,,,,,,,37.0,,,,14.0,,,,,,,11.0,22.0,15.0,,,,38.0,12.0,15.0,,22.0,,,39.0,,,,,,,,,
181,seg,2022-12-05,,,,,,,,,22.0,,,,25.0,25.0,,,,,,20.0,18.0,20.0,,,22.0,29.0,17.0,18.0,,19.0,,36.0,39.0,,,,,,,,,
